data_idx,question_idx,prompt_question,prompt_option_a,prompt_option_b,prompt_option_c,prompt_option_d,answer,country
418,418,"In the context of British social norms, what is the expected protocol for individuals when approaching a public service area, which emphasizes a meticulous and courteous adherence to sequential order, and how does this practice reflect broader cultural values regarding respect and fairness?",Waiting for your turn patiently at the end of the queue,Asking someone in the middle of the queue if you can join in front of them,Creating a new line next to the existing one to be served quicker,"Joining the queue wherever there's a gap, regardless of its order.",A,United Kingdom
419,419,How do friends greet each other in the Netherlands?,Giving eachother a hug,Bowing when greeting someone,Kissing on the forehead,Shaking hands,D,Netherlands
420,420,"In Iranian culture, when a seller refuses to accept payment for their service, what is the expected response?",Insist on paying,Accept the gesture and do not pay,Leave the money on the counter and walk away,Offer to pay through an online transaction instead,A,Iran
421,421,"In American culture, what is a common behavior observed in grocery store parking lots?",Driving aggressively to find a parking spot,Waiting patiently for a spot to open up,Sharing rides to minimize the number of cars in the lot,Walking or cycling to the grocery store instead of driving,A,United States
422,422,"In Mexican culture, what tradition is celebrated every November 2nd to honor those who have passed away?",Dia de Muertos,Thanksgiving,Halloween,Independence Day.,A,Mexico
423,423,How do people in Mexico traditionally celebrate El Día de Reyes?,By eating Rosca de Reyes,By exchanging gifts only within the immediate family,By preparing a turkey dinner,By lighting fireworks in the evening,A,Mexico
424,424,"In Romania, what can one expect to receive with the beginning of the warmer season?","A ""martisor""",Clothes,A flower,A greeting card.,A,Romania
425,425,"What do people in Mexico typically say to others after finishing a meal at a restaurant before leaving, taking into account the cultural and linguistic regional differences within the country, as well as the variations between different types of restaurants and social situations?",Provecho,Bon Appétit,Cheers,Enjoy your meal,A,Mexico
426,426,"In Nigerian culture, which traditional clothing styles are experiencing a resurgence in popularity, especially among young people?",Ankara and Adire,Jeans and T-shirt,Baseball caps and sneakers,Hoodies and cargo pants.,A,Nigeria
427,427,"In Japanese business culture, how would someone respond when asked for help with a specific task, ensuring they have all necessary details?",They respond enthusiastically and ask for specific details and any other related information to provide accurate assistance.,They give an immediate solution without asking for further details to show efficiency.,They delegate the task to someone else without asking for more information to demonstrate teamwork.,They insist on having a formal meeting before discussing,A,Japan
428,428,"In South Africa, what is a common practice for a man when he wants to get married?",Paying a bride price,Proposing with a diamond ring,Having a grand church wedding,Signing a prenuptial agreement.,A,South Africa
429,429,"In South Africa, what does leaving uneaten food on your plate typically signify?",It's a way to show that you've had enough to eat and are satisfied.,"It's considered a compliment, suggesting the meal was filling and delicious.",It can be interpreted as a negative reflection on the food or the host.,It indicates that you are saving food for later due to personal dietary habits.,C,South Africa
430,430,"In Yoruba culture, how do people celebrate weddings?","By having a traditional engagement ceremony called ""Idana"" where the groom presents gifts to the bride's family.",By throwing a large bridal shower with friends and family.,By the bride and groom planting a tree together as a symbol of their growing love.,By having a rehearsal dinner the night before the wedding.,A,Nigeria
431,431,What traditional initiation ceremony do the Xhosa people in South Africa have for young men to transition into adulthood?,"Ulwaluko, involving circumcision","Sweet Sixteen, involving a large birthday celebration","Bar Mitzvah, involving a religious ceremony","Quinceañera, involving a fifteenth birthday celebration.",A,South Africa
432,432,How do families in Italy typically enjoy their meals together?,Sitting together all around the table,Each member serving themselves buffet-style and eating separately,Eating in front of the television individually,Grabbing quick meals at different times due to busy schedules.,A,Italy
433,433,"In Jewish culture, what is a customary wish for another person's lifespan?",May you live to be 100 years old.,May you live to see many moons.,May you live and reach the age of 120 years old.,May your years be as countless as the stars.,C,Israel
434,434,"In South Africa, what is the traditional practice related to meals and praying?",Pray before and after eating a meal.,Only pray before eating a meal.,Sing a song together before eating.,Share a toast with drinks before and after a meal.,B,South Africa
435,435,"What is one of the traditional ways to name children in Korea, especially in families of aristocracy?",By including a letter that represents the generation in the family name.,Choosing names based on the time of day the child was born.,Using the names of famous historical or cultural figures.,Naming children after cities or states to honor the place of birth.,A,South Korea
436,436,Why do Zulu fathers pay damages to the mother of their child?,To support child's education.,So the child can legally take his surname.,As a form of child support agreement.,To compensate for pregnancy and childbirth expenses.,D,South Africa
437,437,What is a common characteristic of Morocco culture?,Multilingualism including Arabic and French,Predominantly eating sushi as a staple food,Major emphasis on individualism over family,Celebrating Thanksgiving as a national holiday.,A,Morocco
438,438,"In Italian culture, what is the most popular soft drink and sells the best?",Brio,Coca-Cola,Sprite,Pepsi,B,Italy
439,439,"In Turkish culture, what is considered not polite to do loudly in public?",Clearing nasal passages discretely,Laughing,Applauding,Talking,A,Turkey
440,440,"In Moroccan culture, what is the favorite meal for Friday?",Hamburgers and fries,Couscous with vegetables and meat,Sushi rolls,Pizza with pepperoni.,B,Morocco
441,441,"In Singapore, what do people use to reserve seats in hawker centres?",Placing disposable items on the table,Using tissue to wipe the table,Placing their wallet on the table,Placing tissue packets on the floor,A,Singapore
